symbol,threshold,window,start,end,samples,signals,precision,recall,f1,auc,return_pct,profit_factor
AR,0.7200000000000002,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,1,0.0,0.0,0.0,0.772256728778468,0.36778904516775035,inf
AR,0.7200000000000002,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,1,0.0,0.0,0.0,0.9135802469135803,-0.11474331011220172,0.0
AR,0.7200000000000002,3,2026-07-22 16:00:00,2026-07-29 10:00:00,163,2,0.0,0.0,0.0,0.648619957537155,-1.133020292486306,0.0
ARB,0.7200000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,40,0.2,0.38095238095238093,0.26229508196721313,0.6075533661740559,-4.326550421372344,0.7973322267098066
ARB,0.7200000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,4,0.25,0.14285714285714285,0.18181818181818182,0.7133872416891285,-0.0004082354064295114,0.9995351074132731
ARB,0.7200000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7757685352622061,1.7540001725142849,5.605247421793089
ASTER,0.7700000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,0,0.0,0.0,0.0,0.9939393939393939,0.0,0.0
ASTER,0.7700000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0
ASTER,0.7700000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,0,0.0,0.0,0.0,0.9053497942386831,0.0,0.0
ATOM,0.6100000000000001,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,9,0.0,0.0,0.0,0.8909090909090909,1.4043048812110117,2.320314409634088
ATOM,0.6100000000000001,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,11,0.0,0.0,0.0,,0.09013398574841797,1.0652332432866571
ATOM,0.6100000000000001,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,9,0.1111111111111111,0.14285714285714285,0.125,0.7296564195298372,0.8665696721016316,1.5948183820230115
